
(1.55, 188.42, 0.76)
(1.55, 199.18, 0.76)
(1.01, 376.83, 0.76)
(5.52, 495.26, 0.76)
(2.25, 985.14, 0.76)

(1.08, 64.6, 0.8)
(1.62, 102.28, 0.8)
(3.4, 183.03, 0.8)
(2.57, 199.18, 0.8)
(1.88, 220.72, 0.8)
(2.27, 236.87, 0.8)
(1.18, 258.4, 0.8)
(1.06, 290.7, 0.8)
(1.72, 382.21, 0.8)
(16.61, 495.26, 0.8)
(7.58, 985.14, 0.8)

(1.36, 102.28, 0.84)
(3.61, 183.03, 0.84)
(2.03, 199.18, 0.84)
(1.21, 220.72, 0.84)
(3.3, 242.25, 0.84)
(1.2, 382.21, 0.84)
(1.07, 452.2, 0.84)
(22.58, 495.26, 0.84)
(11.97, 985.14, 0.84)

(2.01, 183.03, 0.88)
(3.49, 247.63, 0.88)
(19.98, 495.26, 0.88)
(12.5, 985.14, 0.88)
(1.01, 1480.41, 0.88)

(1.03, 193.8, 0.92)
(3.3, 247.63, 0.92)
(17.33, 495.26, 0.92)
(11.53, 985.14, 0.92)
(1.06, 1480.41, 0.92)

(3.01, 247.63, 0.96)
(16.08, 495.26, 0.96)
(10.49, 985.14, 0.96)
(1.05, 1480.41, 0.96)

(2.71, 247.63, 1.0)
(16.14, 489.88, 1.0)
(9.54, 985.14, 1.0)

(2.4, 247.63, 1.04)
(14.79, 489.88, 1.04)
(8.81, 985.14, 1.04)

(2.2, 242.25, 1.08)
(12.24, 489.88, 1.08)
(8.0, 985.14, 1.08)

(2.06, 242.25, 1.12)
(9.42, 495.26, 1.12)
(7.13, 985.14, 1.12)

(1.96, 242.25, 1.16)
(8.05, 495.26, 1.16)
(6.37, 985.14, 1.16)

(1.91, 242.25, 1.2)
(7.6, 495.26, 1.2)
(5.59, 985.14, 1.2)

(1.95, 242.25, 1.24)
(7.89, 495.26, 1.24)
(4.67, 985.14, 1.24)

(2.02, 242.25, 1.28)
(9.09, 489.88, 1.28)
(3.74, 985.14, 1.28)

(2.12, 242.25, 1.32)
(9.83, 489.88, 1.32)
(3.07, 985.14, 1.32)

(2.26, 242.25, 1.36)
(9.58, 489.88, 1.36)
(2.59, 985.14, 1.36)

(2.41, 242.25, 1.4)
(8.28, 489.88, 1.4)
(2.17, 985.14, 1.4)

(1.25, 59.22, 1.44)
(2.57, 242.25, 1.44)
(6.39, 489.88, 1.44)
(2.08, 985.14, 1.44)

(1.71, 59.22, 1.48)
(2.69, 242.25, 1.48)
(4.93, 495.26, 1.48)
(2.23, 985.14, 1.48)

(1.29, 59.22, 1.52)
(2.75, 242.25, 1.52)
(4.53, 495.26, 1.52)
(2.37, 985.14, 1.52)

(2.76, 242.25, 1.56)
(4.63, 495.26, 1.56)
(2.57, 985.14, 1.56)

(2.77, 242.25, 1.6)
(5.48, 489.88, 1.6)
(2.8, 985.14, 1.6)

(2.79, 242.25, 1.64)
(5.84, 489.88, 1.64)
(2.87, 985.14, 1.64)

(2.8, 242.25, 1.68)
(5.4, 489.88, 1.68)
(2.85, 985.14, 1.68)

(2.79, 242.25, 1.72)
(4.35, 489.88, 1.72)
(2.87, 985.14, 1.72)

(2.77, 242.25, 1.76)
(3.02, 489.88, 1.76)
(2.81, 985.14, 1.76)

(2.75, 242.25, 1.8)
(2.45, 495.26, 1.8)
(2.62, 985.14, 1.8)

(2.7, 242.25, 1.84)
(2.36, 495.26, 1.84)
(2.4, 985.14, 1.84)

(2.64, 242.25, 1.88)
(2.84, 489.88, 1.88)
(2.24, 985.14, 1.88)

(2.57, 242.25, 1.92)
(3.48, 489.88, 1.92)
(2.05, 985.14, 1.92)

(2.51, 242.25, 1.96)
(3.66, 489.88, 1.96)
(1.77, 985.14, 1.96)

(2.42, 242.25, 2.0)
(3.36, 489.88, 2.0)
(1.52, 985.14, 2.0)

(2.31, 242.25, 2.04)
(2.67, 489.88, 2.04)
(1.32, 985.14, 2.04)

(2.2, 242.25, 2.08)
(1.89, 495.26, 2.08)
(1.08, 985.14, 2.08)

(2.1, 242.25, 2.12)
(1.65, 495.26, 2.12)

(2.01, 242.25, 2.16)
(1.64, 495.26, 2.16)

(1.93, 242.25, 2.2)
(2.02, 489.88, 2.2)

(1.85, 242.25, 2.24)
(2.36, 489.88, 2.24)

(1.81, 242.25, 2.28)
(2.39, 489.88, 2.28)

(1.76, 242.25, 2.32)
(2.09, 489.88, 2.32)

(1.72, 242.25, 2.36)
(1.55, 489.88, 2.36)

(1.6, 242.25, 2.4)

(1.06, 242.25, 2.44)
